pernr,bank_country,bank_key,bank_account,iban,currency,payment_method,needs_review
00000231,JP,55787605,6447101019,JP6338846697743368834251,JPY,C,0
00000232,FR,84428388,7707289700,FR4046469170096515341625766,EUR,C,0
00000233,FR,82166456,2142519761,FR1977819277670755385387442,EUR,C,0
00000234,ES,27913721,5146208330,ES3429533250781367273446,EUR,K,0
00000235,ES,81696884,3651422098,ES7850933111741247558477,EUR,T,0
00000236,JP,28179252,5216971971,JP6087293082060836121533,JPY,K,0
00000237,ES,74955882,9627950289,ES8577360844059087188199,EUR,C,0
00000238,DE,76073634,5683776187,DE81747416436859896193,EUR,C,0
00000239,JP,63466453,7498013097,JP4981700385810202981985,JPY,K,0
00000240,DE,13788240,9491668049,DE34741931970597915580,EUR,C,0
00000241,FR,44474056,1304959309,DE5341846120900532710913007,EUR,C,1
00000242,US,87570353,7291762059,US64561565611529567376,USD,T,0
00000243,US,75245916,3167912611,US11389379995523500078,USD,C,0
00000244,US,55704054,2331978732,DE94831161622629266462,USD,K,1
00000245,FR,63125163,8561996581,FR4285938875883290698301356,EUR,T,0
00000246,US,40084877,3736363690,US99331392704857743511,EUR,C,1
00000247,FR,77277649,5902379501,FR6391570930739800495460368,EUR,T,0
00000248,ES,26925691,2435127370,ES5030673257301325135475,EUR,K,0
00000249,GB,91839378,2298812632,GB07049141724468286718,GBP,C,0
00000250,JP,95199099,8286719736,JP9602444635841317,JPY,C,1
00000251,FR,10800022,6801579020,FR5748503913943885230647747,EUR,C,0
00000252,DE,90691336,4655621634,DE74349350844920993973,EUR,K,0
00000253,FR,91759773,6388017782,FR7432475672811986318330386,EUR,T,0
00000254,GB,76367233,1396286512,GB58966547799882869076,GBP,K,0
00000255,ES,56089637,9629414586,ES5553693003091683277010,EUR,C,0
00000256,DE,88466882,8360180730,DE00844719246270578078,EUR,K,0
00000257,JP,26417018,7228603767,JP3943799014830775170497,JPY,C,0
00000258,FR,17037756,2663866982,FR9883526265126641426094026,EUR,K,0
00000259,ES,58405047,1766159156,ES7537008446143214575235,EUR,C,0
00000260,GB,71842360,8194951495,GB41588318845575861687,GBP,K,0
00000261,GB,58565486,3355374598,GB794878962619933941,EUR,K,1
00000262,GB,99784585,7134543856,GB79593473249340334109,GBP,T,0
00000263,US,66473675,2621772191,US43502794644914395275,USD,K,0
00000264,US,52346582,7756148080,US57980445544191396060,USD,K,0
00000265,FR,58139947,8311998547,FR3642856313567388270788604,EUR,C,0
00000266,GB,39070799,9614242787,DE33289107516472978477,GBP,T,1
00000267,JP,70270047,4956041561,JP7691298379888790011008,JPY,K,0
00000268,DE,56041147,9520170741,DE66939217371211238276,EUR,T,0
00000269,JP,35832896,3567557828,JP7070607550058895914412,JPY,C,0
00000270,GB,34249929,7867947328,GB98528811670965343,EUR,T,1
00000271,JP,61321435,4054876211,JP6229688874970619241467,JPY,C,0
00000272,DE,18380848,8097824263,DE38017309619197887,EUR,T,1
00000273,DE,65663763,6741398304,DE76104508543781666207,USD,C,1
00000274,DE,60376621,1232601122,DE29137545156641619777,USD,C,1
00000275,FR,77172590,5393119956,FR2882100027063673449858991,EUR,T,0
00000276,DE,45632018,2163356234,DE11408778860637816110,EUR,T,0
00000277,GB,33471818,3111108221,GB523281755815842303,GBP,C,1
00000278,US,85031799,1683725566,GB58912592484075714589,USD,C,1
00000279,ES,60520132,3279296220,ES6695417741410822599584,EUR,C,0
00000280,JP,59461540,3037586312,JP6573113804741591034512,JPY,C,0
00000281,GB,19282394,7096193971,GB69229022980435920797,GBP,K,0
00000282,JP,49714891,1580347277,JP6808179329287488586849,JPY,T,0
00000283,DE,26418423,8597743291,JP71021269418420214079,EUR,C,1
00000284,FR,45623541,2573834869,FR5321033059704914510649532,EUR,K,0
00000285,ES,77488643,9437351026,ES6350641649520912161673,EUR,C,0
00000286,ES,91262324,8583501410,ES5040619369974346808600,EUR,C,0
00000287,ES,53249517,1172999569,ES7303513026488237841096,EUR,K,0
00000288,ES,17370106,2027229335,FR1702727563050402339889,EUR,C,1
00000289,US,61081268,2838340701,US75210679355566576594,USD,K,0
00000290,ES,16926160,3123107355,ES812117816619791267,EUR,K,1
00000291,FR,88647420,8667489196,FR8031786602795684175856624,EUR,C,0
00000292,DE,62132602,1829027888,DE3814400350650864,EUR,K,1
00000293,GB,50065886,9675286367,GB80772781420387505687,GBP,K,0
00000294,FR,24423829,5120753280,FR1461797980257588808121965,EUR,C,0
00000295,JP,72484809,9900901760,JP8365248168863166914403,JPY,C,0
00000296,JP,86977936,7986086912,JP2949538446818675790338,JPY,C,0
00000297,FR,53579843,5004969697,FR6076112157937078086,EUR,K,1
00000298,ES,42570919,3672341528,ES3661125725767919075609,EUR,T,0
00000299,DE,96816836,4549970006,DE07974297842788731803,EUR,K,0
00000300,US,69783649,9739877489,US99058548004085024261,USD,K,0
00000301,FR,45690415,4786901936,FR1199615329024455861481979,EUR,K,0
00000302,US,68951333,6580505650,US56405737668116609997,USD,K,0
00000303,JP,85533241,8992180741,JP6815266630105722147551,JPY,C,0
00000304,US,86708264,2232382684,US49018037397452658058,USD,K,0
00000305,JP,56178062,6974682380,JP9995544722875574122066,USD,K,1
00000306,US,43341469,1542826724,US16270041564569229054,EUR,T,1
00000307,JP,71134322,1655536004,JP9995828998080384093053,JPY,K,0
00000308,FR,77242519,9374304083,FR8369884373167034127217381,EUR,K,0
00000309,JP,87169632,3722453468,JP6867924286516299422322,JPY,C,0
00000310,FR,46912730,9405456759,FR5314846841967926720690869,EUR,T,0
00000311,FR,55255307,9831198850,FR6603390143104151940600412,EUR,T,0
00000312,US,16545611,4227108583,US29709710154029541378,USD,K,0
00000313,JP,34455253,3424856208,JP1518695553323855202838,JPY,T,0
00000314,FR,26554329,8513395263,FR7068511509287442574693574,EUR,T,0
00000315,FR,12672573,3816334482,FR1941753674972173670,EUR,T,1
00000316,JP,67461291,2769285748,JP4575166333902056415872,JPY,K,0
00000317,JP,98611169,7982301192,JP6189373327057119061605,JPY,T,0
00000318,ES,76633492,6714771440,JP7513931799719424500963,EUR,T,1
00000319,JP,27701894,9257269317,JP6180328418539521115857,JPY,T,0
00000320,FR,74065041,7984110791,JP5075099061374657252728257,EUR,C,1
00000321,JP,81820669,7804916530,JP7639732053600087753066,JPY,C,0
00000322,DE,15739159,5974454645,DE9316177082982561,USD,K,1
00000323,DE,73123665,9868789742,DE10078091421076539955,EUR,C,0
00000324,GB,82734242,1570693210,GB52259942628288750764,GBP,K,0
00000325,ES,28998755,8042702287,ES8134625496693519630331,EUR,C,0
00000326,US,53733641,4179889987,US51186663782403268966,USD,K,0
00000327,DE,59631157,8157986184,DE80743564465630950339,EUR,T,0
00000328,GB,39642925,1906019609,GB99170093605290137166,GBP,T,0
00000329,ES,90220657,2411065091,ES2393730279925612629781,EUR,T,0
00000330,ES,14315607,1980455463,ES1751333243758078520827,EUR,C,0
00000331,JP,72197343,5840292684,JP4286043128119430742102,JPY,T,0
00000332,FR,77661338,6358078902,FR2104804085765292393365609,EUR,T,0
00000333,DE,90717331,6937726278,DE13027073256241805563,EUR,K,0
00000334,DE,48750032,4215509510,DE00252399483819588855,EUR,T,0
00000335,ES,87860351,4956828986,ES1280660884492118106959,EUR,T,0
00000336,JP,11870716,9864157327,JP4503813495532127279528,JPY,C,0
00000337,JP,53033339,4859406317,JP0164923782695377620399,JPY,C,0
00000338,JP,61875269,3869617008,JP1234037987695640151184,JPY,C,0
00000339,GB,40544878,2060302930,GB87089000407787936563,GBP,T,0
00000340,FR,18406813,9000900926,FR3128722667160171787135420,EUR,K,0
00000341,FR,44005665,6760890374,FR8161330888885917470120268,EUR,C,0
00000342,JP,48264460,6977069483,JP1207835281912694609571,JPY,K,0
00000343,US,32551312,4905020797,US06279273686054628472,USD,T,0
00000344,ES,65842186,8621547150,ES4585435291655681124,EUR,C,1
00000345,GB,57999706,3976588392,GB97068011921569668665,GBP,K,0
00000346,ES,67039377,2818519939,ES8923534144617746260407,EUR,K,0
00000347,JP,15825902,2405703056,JP7107722987764026601261,JPY,T,0
00000348,FR,91478019,1160665662,FR7492393097304327648850036,EUR,C,0
00000349,DE,11740846,8554384575,DE4685444933912034,EUR,K,1
00000350,US,76680667,8040254851,US61794375032345578531,USD,K,0
00000351,FR,32114993,8633570927,FR3751837960644357698460403,EUR,K,0
00000352,US,36607431,4072477824,US42078057462717657324,USD,C,0
00000353,DE,16257374,5374175452,DE55259810226167217923,EUR,K,0
00000354,DE,46164938,9669089027,DE97438468245856119650,EUR,T,0
00000355,JP,80433732,5539871277,JP6788607433356291327715,JPY,T,0
00000356,JP,32270543,1269228830,JP8140739713002414269311,JPY,C,0
00000357,FR,81300691,1409783462,FR5848220439754859060974663,EUR,T,0
00000358,GB,36045911,2097407785,DE27491121665953624657,GBP,T,1
00000359,US,50634793,6352822821,US68966476252398340,USD,K,1
00000360,ES,77087215,1098847236,ES4757090890546991367637,EUR,C,0
00000361,ES,72732231,9890633513,ES8107474342848022090565,EUR,T,0
00000362,JP,40083087,6228546550,JP1754416548617814123644,JPY,C,0
00000363,DE,47909398,9390648883,DE93956243595881823025,EUR,K,0
00000364,ES,80841518,8481337064,ES7086058458504729215975,EUR,C,0
00000365,US,22369335,2021625021,US984017315719332,USD,K,1
00000366,ES,23855025,2816023884,ES5137101059444586419652,EUR,K,0
00000367,DE,69419854,2981603143,DE75590552768618220332,EUR,T,0
00000368,ES,92256854,4761001816,ES8071320504771551205432,EUR,C,0
00000369,FR,83143475,3290899157,FR7127709318181369208322556,EUR,K,0
00000370,DE,84813407,1600859268,DE12050718303233910247,EUR,C,0
00000371,US,47486926,1957622684,US52727112902803545702,USD,K,0
00000372,FR,36212564,1704675416,FR0785382529405909820571800,EUR,C,0
00000373,US,79888052,7975224083,US80358469988426027769,USD,C,0
00000374,DE,19096595,1407909705,US51298192841263853944,EUR,K,1
00000375,ES,95293755,2009261813,GB3835147953357164867692,EUR,K,1
00000376,US,62664768,8221413661,JP82350034464344760964,USD,K,1
00000377,JP,64547823,4773422124,JP98555034760578676627,JPY,T,1
00000378,US,70204144,9233289527,US36867479667827885605,USD,T,0
00000379,GB,24891195,9862501702,US52998257870858411315,GBP,C,1
00000380,DE,18073451,2201019126,DE22533076007488360975,EUR,C,0
00000381,JP,86505130,7513041301,JP49052387567005993,JPY,C,1
00000382,JP,68070535,6348233582,JP3039666312365202420875,JPY,K,0
00000383,DE,97790273,8950086506,DE50845291880356151,USD,T,1
00000384,DE,68520503,9221761519,DE38965813943337683957,EUR,C,0
00000385,US,79429687,7171288684,US80278824892733879852,USD,C,0
00000386,FR,57844089,1166286558,FR9942840420283613173516295,EUR,C,0
00000387,DE,30649094,1463670258,DE40082614634058259,EUR,T,1
00000388,ES,76198708,9161418268,DE3905440225312976403666,EUR,C,1
00000389,FR,28060406,2678258930,US6036110679640835018559351,EUR,T,1
00000390,JP,36099967,3849412482,JP7160547374750777753306,JPY,K,0
00000391,US,38404504,9426655621,US90528279742277472069,USD,K,0
00000392,DE,42388284,1655663743,DE86852024367594164,EUR,T,1
00000393,GB,15040769,3435470124,GB32071138494534765082,GBP,K,0
00000394,DE,42813426,8284692710,DE27087531576920269482,EUR,T,0
00000395,GB,37940749,8967267677,GB29889714591543184024,GBP,K,0
00000396,FR,19856939,2919352220,FR7055030107546664206629620,USD,C,1
00000397,US,64177078,4716504921,US82065796912434917758,USD,K,0
00000398,JP,13471236,3153422330,JP2872499506030447332810,JPY,T,0
00000399,FR,11470507,6419543713,FR7075811842194572621389183,EUR,C,0
00000400,DE,65327650,7284113042,DE80215953486093227405,EUR,C,0
00000401,DE,98075478,1527516783,DE52321570756426447721,EUR,T,0
00000402,FR,53207277,9169819852,FR8428541721253871807896916,EUR,K,0
00000403,GB,83407384,9091660975,GB26297049085047322731,GBP,K,0
00000404,FR,14019807,2240577799,FR9479574123049933541622308,EUR,T,0
00000405,JP,15615897,8078072760,JP4602551940630318865368,JPY,T,0
00000406,GB,43088906,2351201156,GB83052725975022248593,GBP,K,0
00000407,US,68473810,5696809504,US47101535084192471753,USD,T,0
00000408,GB,49108786,6360443095,GB26677777148375540990,GBP,C,0
00000409,DE,34954827,2697043450,DE09064182560471206586,EUR,C,0
00000410,DE,50826971,8298700882,DE53850537288603992527,EUR,C,0
